mag_bin,asas_sn_id,index_num,index_csv,lc_dir,dat_path,g_n_peaks,g_mean_mag,g_peaks_idx,g_peaks_jd,v_n_peaks,v_mean_mag,v_peaks_idx,v_peaks_jd
12_12.5,395137802047,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137802047.dat,0,12.027989817593093,[],[],0,12.03103881533101,[],[]
12_12.5,292059029648,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292059029648.dat,0,11.995477624713958,[],[],0,11.99355505673759,[],[]
12_12.5,292058107236,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058107236.dat,0,12.032721752797015,[],[],0,12.032350836938436,[],[]
12_12.5,309238193423,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/309238193423.dat,0,12.102934927777778,[],[],0,12.024716391891893,[],[]
12_12.5,292058568170,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058568170.dat,0,12.00812899778516,[],[],0,12.01558690909091,[],[]
12_12.5,395137789448,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137789448.dat,0,11.8828392265625,[],[],0,11.887937389090908,[],[]
12_12.5,292058078176,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058078176.dat,0,12.010145626097868,[],[],0,12.01220563448276,[],[]
12_12.5,292058106654,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058106654.dat,0,12.017564556313994,[],[],0,12.030949147368421,[],[]
12_12.5,292058535070,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058535070.dat,0,12.099825905172416,[],[],0,12.082040217522659,[],[]
12_12.5,395137797714,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137797714.dat,0,12.025900264088397,[],[],0,12.026988259740259,[],[]
